"Type","Cluster","Category","Target Keyword","Search Intent","Suggested Title","Internal Links","Estimated Difficulty","Priority"
"Informational","AI Writing","ai","what is a content brief","Informational / definition","What İs A Content Brief: Simple ToolVanta Guide","tools/ai-prompt-generator/; categories/ai/","Very Low","P1"
"Informational","AI Writing","ai","how to write ai email prompts","Informational / definition","How To Write Ai Email Prompts: Simple ToolVanta Guide","tools/ai-prompt-generator/; categories/ai/","Low","P2"
"Informational","AI Writing","ai","what makes a good blog outline","Informational / definition","What Makes A Good Blog Outline: Simple ToolVanta Guide","tools/ai-prompt-generator/; categories/ai/","Low","P2"
"Informational","AI Writing","ai","how to review ai generated content","Informational / definition","How To Review Ai Generated Content: Simple ToolVanta Guide","tools/ai-prompt-generator/; categories/ai/","Low","P2"
"Informational","SEO","seo","what is a title tag","Informational / definition","What İs A Title Tag: Simple ToolVanta Guide","tools/meta-tag-analyzer/; categories/seo/","Very Low","P1"
"Informational","SEO","seo","what is a meta description","Informational / definition","What İs A Meta Description: Simple ToolVanta Guide","tools/meta-tag-analyzer/; categories/seo/","Very Low","P1"
"Informational","SEO","seo","what is schema markup","Informational / definition","What İs Schema Markup: Simple ToolVanta Guide","tools/meta-tag-analyzer/; categories/seo/","Very Low","P1"
"Informational","SEO","seo","what is keyword density","Informational / definition","What İs Keyword Density: Simple ToolVanta Guide","tools/meta-tag-analyzer/; categories/seo/","Low","P2"
"Informational","SEO","seo","what is a canonical url","Informational / definition","What İs A Canonical Url: Simple ToolVanta Guide","tools/meta-tag-analyzer/; categories/seo/","Low","P2"
"Informational","SEO","seo","what is robots txt","Informational / definition","What İs Robots Txt: Simple ToolVanta Guide","tools/meta-tag-analyzer/; categories/seo/","Low","P2"
"Informational","Developer Tools","developer","what is json formatting","Informational / definition","What İs Json Formatting: Simple ToolVanta Guide","tools/password-generator/; categories/developer/","Very Low","P1"
"Informational","Developer Tools","developer","what is base64 encoding","Informational / definition","What İs Base64 Encoding: Simple ToolVanta Guide","tools/password-generator/; categories/developer/","Very Low","P1"
"Informational","Developer Tools","developer","what is url encoding","Informational / definition","What İs Url Encoding: Simple ToolVanta Guide","tools/password-generator/; categories/developer/","Very Low","P1"
"Informational","Developer Tools","developer","what is jwt decoding","Informational / definition","What İs Jwt Decoding: Simple ToolVanta Guide","tools/password-generator/; categories/developer/","Low","P2"
"Informational","Developer Tools","developer","what is csv to json conversion","Informational / definition","What İs Csv To Json Conversion: Simple ToolVanta Guide","tools/password-generator/; categories/developer/","Low","P2"
"Informational","Developer Tools","developer","what is unix timestamp","Informational / definition","What İs Unix Timestamp: Simple ToolVanta Guide","tools/password-generator/; categories/developer/","Low","P2"
"Informational","Text Tools","text","what counts as a word","Informational / definition","What Counts As A Word: Simple ToolVanta Guide","tools/word-counter/; categories/text/","Very Low","P1"
"Informational","Text Tools","text","what is character count","Informational / definition","What İs Character Count: Simple ToolVanta Guide","tools/word-counter/; categories/text/","Very Low","P1"
"Informational","Text Tools","text","what is title case","Informational / definition","What İs Title Case: Simple ToolVanta Guide","tools/word-counter/; categories/text/","Very Low","P1"
"Informational","Text Tools","text","what is sentence case","Informational / definition","What İs Sentence Case: Simple ToolVanta Guide","tools/word-counter/; categories/text/","Low","P2"
"Informational","Text Tools","text","how to remove duplicate lines","Informational / definition","How To Remove Duplicate Lines: Simple ToolVanta Guide","tools/word-counter/; categories/text/","Low","P2"
"Informational","Text Tools","text","what is readability score","Informational / definition","What İs Readability Score: Simple ToolVanta Guide","tools/word-counter/; categories/text/","Low","P2"
"Informational","Marketing","marketing","what is utm tracking","Informational / definition","What İs Utm Tracking: Simple ToolVanta Guide","tools/business-name-generator/; categories/marketing/","Very Low","P1"
"Informational","Marketing","marketing","what is ctr","Informational / definition","What İs Ctr: Simple ToolVanta Guide","tools/business-name-generator/; categories/marketing/","Very Low","P1"
"Informational","Marketing","marketing","what is cpc","Informational / definition","What İs Cpc: Simple ToolVanta Guide","tools/business-name-generator/; categories/marketing/","Very Low","P1"
"Informational","Marketing","marketing","what is cpm","Informational / definition","What İs Cpm: Simple ToolVanta Guide","tools/business-name-generator/; categories/marketing/","Low","P2"
"Informational","Marketing","marketing","what is roas","Informational / definition","What İs Roas: Simple ToolVanta Guide","tools/business-name-generator/; categories/marketing/","Low","P2"
"Informational","Marketing","marketing","what is conversion rate","Informational / definition","What İs Conversion Rate: Simple ToolVanta Guide","tools/business-name-generator/; categories/marketing/","Low","P2"
"Informational","Social Media","social-media","what are hashtags","Informational / definition","What Are Hashtags: Simple ToolVanta Guide","tools/username-generator/; categories/social-media/","Very Low","P1"
"Informational","Social Media","social-media","what is a social media hook","Informational / definition","What İs A Social Media Hook: Simple ToolVanta Guide","tools/username-generator/; categories/social-media/","Very Low","P1"
"Informational","Social Media","social-media","what makes a good instagram bio","Informational / definition","What Makes A Good İnstagram Bio: Simple ToolVanta Guide","tools/username-generator/; categories/social-media/","Very Low","P1"
"Informational","Social Media","social-media","what makes a good youtube channel name","Informational / definition","What Makes A Good Youtube Channel Name: Simple ToolVanta Guide","tools/username-generator/; categories/social-media/","Low","P2"
"Informational","Social Media","social-media","what is a social media calendar","Informational / definition","What İs A Social Media Calendar: Simple ToolVanta Guide","tools/username-generator/; categories/social-media/","Low","P2"
"Informational","Calculators","calculator","how to calculate percentage change","Informational / definition","How To Calculate Percentage Change: Simple ToolVanta Guide","tools/age-calculator/; categories/calculator/","Very Low","P1"
"Informational","Calculators","calculator","what is compound interest","Informational / definition","What İs Compound İnterest: Simple ToolVanta Guide","tools/age-calculator/; categories/calculator/","Very Low","P1"
"Informational","Calculators","calculator","how to calculate vat","Informational / definition","How To Calculate Vat: Simple ToolVanta Guide","tools/age-calculator/; categories/calculator/","Very Low","P1"
"Informational","Calculators","calculator","how to calculate profit margin","Informational / definition","How To Calculate Profit Margin: Simple ToolVanta Guide","tools/age-calculator/; categories/calculator/","Low","P2"
"Informational","Calculators","calculator","how to calculate break even point","Informational / definition","How To Calculate Break Even Point: Simple ToolVanta Guide","tools/age-calculator/; categories/calculator/","Low","P2"
"Informational","Image Tools","image","what is image compression","Informational / definition","What İs İmage Compression: Simple ToolVanta Guide","tools/color-palette-generator/; categories/image/","Very Low","P1"
"Informational","Image Tools","image","what is image aspect ratio","Informational / definition","What İs İmage Aspect Ratio: Simple ToolVanta Guide","tools/color-palette-generator/; categories/image/","Very Low","P1"
"Informational","Image Tools","image","what is a qr code","Informational / definition","What İs A Qr Code: Simple ToolVanta Guide","tools/color-palette-generator/; categories/image/","Very Low","P1"
"Informational","Image Tools","image","what is a color palette","Informational / definition","What İs A Color Palette: Simple ToolVanta Guide","tools/color-palette-generator/; categories/image/","Low","P2"
"Informational","Image Tools","image","what is svg optimization","Informational / definition","What İs Svg Optimization: Simple ToolVanta Guide","tools/color-palette-generator/; categories/image/","Low","P2"
"Informational","Productivity","productivity","what is pomodoro technique","Informational / definition","What İs Pomodoro Technique: Simple ToolVanta Guide","tools/random-quote-generator/; categories/productivity/","Very Low","P1"
"Informational","Productivity","productivity","what is eisenhower matrix","Informational / definition","What İs Eisenhower Matrix: Simple ToolVanta Guide","tools/random-quote-generator/; categories/productivity/","Very Low","P1"
"Informational","Productivity","productivity","what makes a good meeting agenda","Informational / definition","What Makes A Good Meeting Agenda: Simple ToolVanta Guide","tools/random-quote-generator/; categories/productivity/","Very Low","P1"
"Informational","Productivity","productivity","what is habit tracking","Informational / definition","What İs Habit Tracking: Simple ToolVanta Guide","tools/random-quote-generator/; categories/productivity/","Low","P2"
"Informational","Productivity","productivity","how to prioritize a task list","Informational / definition","How To Prioritize A Task List: Simple ToolVanta Guide","tools/random-quote-generator/; categories/productivity/","Low","P2"
